title,platform,note
Final Fantasy XIII-2,PlayStation 3,Also owned on Steam (FINAL FANTASY® XIII-2)
Grand Theft Auto IV,PlayStation 3,Also owned on Steam (Grand Theft Auto IV: The Complete Edition)
Grand Theft Auto V,PlayStation 3,Upgrade candidate: GTA V PS5 (optional)
Harry Potter and the Deathly Hallows Part 2,PlayStation 3,"CLZ release date wrong (shows 16 Nov 2010, should be Jul 2011)"
Heavy Rain,PlayStation 3,Upgrade candidate: Covered by the Heavy Rain & Beyond Collection (PS4)
Jak and Daxter Collection,PlayStation 3,"Covers Jak and Daxter: The Precursor Legacy, Jak II, Jak 3 (PS2 originals)"
Just Cause 2,PlayStation 3,Also owned on Steam (Just Cause 2)
Kane & Lynch 2: Dog Days,PlayStation 3,Also owned on Steam (Kane & Lynch 2: Dog Days)
Kane & Lynch: Dead Men,PlayStation 3,Also owned on Steam (Kane and Lynch: Dead Men™)
Killzone 2,PlayStation 3,Keep: Killzone Trilogy (PS3) would make this surplus
Killzone 3,PlayStation 3,Keep: Killzone Trilogy (PS3) would make this surplus
The Last of Us,PlayStation 3,Upgrade candidate: The Last of Us Part I (PS5)
Lollipop Chainsaw,PlayStation 3,Keep: The Switch RePop is a changed version – both are worth keeping
Mafia II,PlayStation 3,Upgrade candidate: Covered by Mafia: Trilogy (PS4)
Mass Effect 2,PlayStation 3,Upgrade candidate: Covered by Mass Effect Legendary Edition (PS4)
Mass Effect 3,PlayStation 3,Surplus: Also owned on Wii U; Legendary Edition (PS4) would replace ME2 + ME3
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,Surplus: In MGS Master Collection Vol.2 (PS5)
Metal Gear Solid: The Legacy Collection: 1987-2012,PlayStation 3,"Covers MG, MG2, MGS, MGS2, MGS3, MGS4, Peace Walker · Surplus: Master Collection Vol.1 + Vol.2 cover MGS1–4 + Peace Walker"
Portal 2,PlayStation 3,Also owned on Steam (Portal 2)
Prince of Persia Trilogy,PlayStation 3,"Covers The Sands of Time, Warrior Within, The Two Thrones (PS2 originals)"
Ratchet & Clank Trilogy: HD Collection,PlayStation 3,"Covers Ratchet & Clank, Going Commando, Up Your Arsenal (PS2 originals)"
Red Dead Redemption,PlayStation 3,Upgrade candidate: RDR PS4 (2023) incl. Undead Nightmare (optional)
Resident Evil 5,PlayStation 3,"Surplus: Also owned on PS4 – one copy, newest gen · Also owned on Steam (Resident Evil 5)"
The Sly Trilogy,PlayStation 3,"Covers Sly Cooper and the Thievius Raccoonus, Sly 2: Band of Thieves, Sly 3: Honor Among Thieves (PS2 originals)"
Star Wars: The Force Unleashed,PlayStation 3,Also owned on Steam (STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition)
Star Wars: The Force Unleashed II,PlayStation 3,Also owned on Steam (STAR WARS™: The Force Unleashed™ II)
Tales Of Xillia,PlayStation 3,Surplus: Tales of Xillia Remastered owned on Switch
Tales of Xillia 2,PlayStation 3,Keep: Only on PS3
Tom Clancy's Splinter Cell Trilogy,PlayStation 3,"Covers Splinter Cell, Pandora Tomorrow, Chaos Theory (HD)"
Tomb Raider,PlayStation 3,Upgrade candidate: Tomb Raider Definitive Edition (PS4) · Also owned on Steam (Tomb Raider Game of the Year)
The Tomb Raider Trilogy,PlayStation 3,"Covers Tomb Raider: Legend, Anniversary, Underworld · Also owned on Steam (Tomb Raider: Legend + Tomb Raider: Anniversary + Tomb Raider: Underworld)"
Uncharted 3: Drake's Deception,PlayStation 3,Surplus: In the Nathan Drake Collection (PS4)
Uncharted: Drake's Fortune,PlayStation 3,Surplus: In the Nathan Drake Collection (PS4)
White Knight Chronicles 2,PlayStation 3,Disc also contains White Knight Chronicles (I)
Assassin's Creed IV: Black Flag,PlayStation 4,Optional surplus: Black Flag Resynced (PS5) is the remake
Assassin's Creed: Rogue Remastered,PlayStation 4,Remaster of Assassin's Creed Rogue (PS3/360) · Also owned on Steam (Assassin’s Creed® Rogue)
Batman: Arkham Knight,PlayStation 4,Also owned on Steam (Batman™: Arkham Knight)
Dragon Quest XI: Echoes Of An Elusive Age,PlayStation 4,Surplus: DQXI S (definitive version) owned on Switch
Final Fantasy VII Remake,PlayStation 4,Upgrade candidate: Intergrade PS5 adds the Yuffie episode
Ghost of Tsushima,PlayStation 4,Upgrade candidate: Director's Cut PS5 adds Iki Island
Horizon: Zero Dawn,PlayStation 4,Upgrade candidate: Remastered PS5 (optional)
Kingdom Hearts III,PlayStation 4,"Upgrade candidate: Included in the Kingdom Hearts Collection (PS5, 8 Oct 2026)"
The Last of Us: Part II,PlayStation 4,Upgrade candidate: Remastered PS5 (optional)
Mass Effect: Andromeda,PlayStation 4,Also owned on Steam (Mass Effect™: Andromeda Deluxe Edition)
Neptunia x Senran Kagura: Ninja Wars,PlayStation 4,Surplus: Also owned on Switch
Ninja Gaiden: Master Collection,PlayStation 4,"Covers Ninja Gaiden Sigma, Sigma 2, Ninja Gaiden 3: Razor's Edge"
No Man's Sky,PlayStation 4,Also owned on Steam (No Man's Sky)
Persona 5 Royal,PlayStation 4,Also owned on Steam (Persona 5 Royal)
Resident Evil 5,PlayStation 4,Also owned on Steam (Resident Evil 5)
Resident Evil 6,PlayStation 4,Also owned on Steam (Resident Evil 6)
Resident Evil Origins Collection,PlayStation 4,Covers Resident Evil (HD Remaster) + Resident Evil 0 · Also owned on Steam (Resident Evil + Resident Evil 0)
Resident Evil: Revelations 2,PlayStation 4,Also owned on Steam (Resident Evil Revelations 2)
Star Wars: Republic Commando,PlayStation 4,Cross-platform dup: Also owned on original Xbox – keep one if you want · Also owned on Steam (STAR WARS™ Republic Commando™)
Uncharted 4: A Thief's End,PlayStation 4,Upgrade candidate: Legacy of Thieves Collection PS5 (optional)
Uncharted: The Lost Legacy,PlayStation 4,Upgrade candidate: Legacy of Thieves Collection PS5 (optional)
Uncharted: The Nathan Drake Collection,PlayStation 4,"Covers Uncharted: Drake's Fortune, Among Thieves, Drake's Deception (PS3 originals)"
Until Dawn,PlayStation 4,Upgrade candidate: Until Dawn PS5 remake (optional)
Wolfenstein: The Two Pack,PlayStation 4,Covers Wolfenstein: The New Order + The Old Blood
Assassin's Creed Black Flag Resynced,PlayStation 5,Remake of Assassin's Creed IV: Black Flag · Also owned on Steam (Assassin's Creed Black Flag Resynced)
Assassin's Creed Valhalla,PlayStation 5,Also owned on Steam (Assassin's Creed Valhalla)
Atomic Heart,PlayStation 5,Also owned on Steam (Atomic Heart)
BloodRayne 2: ReVamped,PlayStation 5,Limited Run Games release
Bloodrayne: ReVamped,PlayStation 5,Limited Run Games release
Control,PlayStation 5,Also owned on Steam (CONTROL Ultimate Edition)
Deathloop,PlayStation 5,Also owned on Steam (DEATHLOOP)
Demon's Souls,PlayStation 5,2020 remake of the PS3 original
Marvel's Wolverine,PlayStation 5,CLZ publisher field empty
Metal Gear Solid Delta: Snake Eater,PlayStation 5,Remake of MGS3
Metal Gear Solid: Master Collection Vol. 1,PlayStation 5,"Covers MG, MG2, Snake's Revenge, MGS (Integral, VR Missions), MGS2, MGS3"
Metal Gear Solid: Master Collection Vol.2,PlayStation 5,"Covers Metal Gear: Ghost Babel, MGS4, MGS: Peace Walker"
The Nioh Collection,PlayStation 5,Covers Nioh + Nioh 2 (remastered) · Partly owned on Steam (Nioh 2 – The Complete Edition)
Resident Evil 2,PlayStation 5,2019 remake (PS5 version) · Also owned on Steam (Resident Evil 2)
Resident Evil 3,PlayStation 5,2020 remake (PS5 version) · Also owned on Steam (Resident Evil 3)
Resident Evil 4,PlayStation 5,2023 remake · Also owned on Steam (Resident Evil 4)
Resident Evil Village,PlayStation 5,Also owned on Steam (Resident Evil Village)
Resident Evil: Biohazard,PlayStation 5,❓ probably Resident Evil 7 biohazard (Gold Edition) – CLZ title unclear
RoboCop: Rogue City - Collection,PlayStation 5,Compilation (RoboCop: Rogue City + expansion)
Saints Row,PlayStation 5,Also owned on Steam (Saints Row)
Assassin's Creed III: Liberation,PlayStation Vita,Handheld – can't be played on PS3/PS5
Disgaea 3: Absence of Detention,PlayStation Vita,Handheld – can't be played on PS3/PS5
Lumines: Electronic Symphony,PlayStation Vita,Handheld – can't be played on PS3/PS5
Uncharted: Golden Abyss,PlayStation Vita,Handheld – can't be played on PS3/PS5
Buzz! Deutschlands Superquiz,PSP,Handheld – can't be played on PS3/PS5
DISSIDIA: Final Fantasy,PSP,Handheld – can't be played on PS3/PS5
Gran Turismo,PSP,Handheld – can't be played on PS3/PS5
Grand Theft Auto: Liberty City Stories,PSP,Handheld – can't be played on PS3/PS5
Grand Theft Auto: Vice City Stories,PSP,Handheld – can't be played on PS3/PS5
Hot Shots Golf: Open Tee,PSP,Handheld – can't be played on PS3/PS5
Lumines,PSP,Handheld – can't be played on PS3/PS5
Pursuit Force,PSP,Handheld – can't be played on PS3/PS5
Tekken: Dark Resurrection,PSP,Handheld – can't be played on PS3/PS5
Yu-Gi-Oh! GX Tag Force / Yu-Gi-Oh! GX,PSP,Handheld – can't be played on PS3/PS5
Star Wars: Republic Commando,Xbox,Also owned on Steam (STAR WARS™ Republic Commando™)
Call of Duty: WWII,Xbox One,Also owned on Steam (Call of Duty®: WWII)
DOOM,Xbox One,Also owned on Steam (DOOM)
Doom Eternal,Xbox One,Also owned on Steam (DOOM Eternal)
Ori and the Blind Forest,Xbox One,Also owned on Steam (Ori and the Blind Forest)
Call of Duty: Black Ops 6,Xbox Series X|S,Also owned on Steam (Call of Duty®: Black Ops 6)
Call of Duty: Modern Warfare II,Xbox Series X|S,Also owned on Steam (Call of Duty®: Modern Warfare® II)
Call of Duty: Modern Warfare III,Xbox Series X|S,Also owned on Steam (Call of Duty®: Modern Warfare® III)
Fable,PlayStation 5,Pre-ordered on PS5; Xbox disc only if cheap later
Call of Duty: Modern Warfare Trilogy,Xbox 360,"Compilation: covers Call of Duty 4: Modern Warfare, Call of Duty: Modern Warfare 2, Call of Duty: Modern Warfare 3"
Battlefield 2042,Xbox Series X|S,CLZ lists Xbox One – actually the Xbox Series X disc (confirmed by me); no campaign · Also owned on Steam (Battlefield™ 2042)
Call of Duty: Infinite Warfare,Xbox One,Bundle includes Call of Duty: Modern Warfare Remastered; Disc-to-Digital unlocked both Infinite Warfare and MWR (tested by me). ❓ exact edition name (Legacy Edition?)
Gears of War: Ultimate Edition,Xbox One,Remake of Gears of War (2006) – counts as owning Gears of War
Halo: The Master Chief Collection,Xbox One,"Compilation: covers Halo: Combat Evolved Anniversary, Halo 2 Anniversary, Halo 3, Halo 3: ODST, Halo: Reach, Halo 4 · Also owned on Steam (Halo: The Master Chief Collection)"
Killer Instinct,Xbox One,❓ disc edition (Definitive Edition?) not confirmed
LEGO Harry Potter Collection,Xbox One,Compilation: LEGO Harry Potter Years 1–4 + Years 5–7
Overcooked! + Overcooked! 2,Xbox One,Compilation: Overcooked! + Overcooked! 2
State of Decay: Year One Survival Edition,Xbox One,Covers State of Decay (2013) incl. DLC
Titanfall,Xbox One,Disc-to-Digital reported working by community testers (Sep 2026)
Gears of War: E-Day,Xbox Series X|S,Pre-ordered
Otogi: Myth of Demons,Xbox,"OG Xbox, backward compatible on Series X"
Otogi 2: Immortal Warriors,Xbox,"OG Xbox, backward compatible on Series X"
Skate,Xbox 360,Backward compatible on Series X
Skate 2,Xbox 360,Backward compatible on Series X
Skate 3,Xbox 360,Backward compatible on Series X
